iter	Passed	Remaining
650	8559	4588
651	8572	4575
652	8585	4562
653	8599	4549
654	8612	4536
655	8625	4523
656	8638	4509
657	8650	4496
658	8663	4483
659	8676	4469
660	8689	4456
661	8707	4445
662	8726	4435
663	8742	4423
664	8758	4411
665	8773	4399
666	8788	4387
667	8802	4374
668	8816	4362
669	8830	4349
670	8845	4337
671	8859	4324
672	8873	4311
673	8886	4298
674	8899	4284
675	8912	4271
676	8924	4258
677	8937	4244
678	8950	4231
679	8962	4217
680	8976	4204
681	8989	4191
682	9002	4178
683	9015	4164
684	9027	4151
685	9040	4138
686	9053	4124
687	9067	4111
688	9079	4098
689	9094	4085
690	9108	4073
691	9121	4059
692	9134	4046
693	9149	4034
694	9162	4021
695	9176	4008
696	9190	3995
697	9203	3981
698	9217	3969
699	9229	3955
700	9243	3942
701	9256	3929
702	9270	3916
703	9282	3902
704	9295	3889
705	9307	3875
706	9320	3862
707	9333	3849
708	9345	3835
709	9358	3822
710	9372	3809
711	9385	3796
712	9397	3782
713	9409	3769
714	9421	3755
715	9434	3742
716	9447	3728
717	9459	3715
718	9472	3702
719	9485	3688
720	9499	3675
721	9511	3662
722	9525	3649
723	9537	3635
724	9550	3622
725	9563	3609
726	9576	3596
727	9588	3582
728	9602	3569
729	9614	3556
730	9628	3543
731	9640	3529
732	9652	3516
733	9664	3502
734	9677	3489
735	9691	3476
736	9704	3463
737	9717	3449
738	9730	3436
739	9743	3423
740	9754	3409
741	9767	3396
742	9780	3383
743	9793	3369
744	9806	3356
745	9819	3343
746	9833	3330
747	9845	3316
748	9857	3303
749	9870	3290
750	9882	3276
751	9894	3263
752	9907	3249
753	9920	3236
754	9932	3223
755	9945	3209
756	9958	3196
757	9971	3183
758	9983	3169
759	9995	3156
760	10009	3143
761	10022	3130
762	10034	3116
763	10048	3104
764	10061	3090
765	10073	3077
766	10086	3064
767	10097	3050
768	10111	3037
769	10125	3024
770	10138	3011
771	10153	2998
772	10167	2985
773	10181	2972
774	10194	2959
775	10207	2946
776	10221	2933
777	10233	2920
778	10246	2906
779	10259	2893
780	10271	2880
781	10284	2867
782	10297	2853
783	10310	2840
784	10323	2827
785	10337	2814
786	10351	2801
787	10364	2788
788	10377	2775
789	10390	2761
790	10402	2748
791	10415	2735
792	10428	2722
793	10441	2709
794	10454	2695
795	10466	2682
796	10479	2669
797	10491	2655
798	10504	2642
799	10517	2629
800	10530	2616
801	10543	2603
802	10556	2589
803	10568	2576
804	10580	2562
805	10594	2549
806	10606	2536
807	10619	2523
808	10632	2510
809	10645	2497
810	10657	2483
811	10669	2470
812	10683	2457
813	10696	2444
814	10709	2431
815	10722	2417
816	10736	2404
817	10750	2391
818	10763	2378
819	10775	2365
820	10789	2352
821	10801	2338
822	10813	2325
823	10825	2312
824	10837	2298
825	10849	2285
826	10862	2272
827	10875	2259
828	10889	2246
829	10901	2232
830	10915	2219
831	10929	2206
832	10942	2193
833	10955	2180
834	10967	2167
835	10980	2154
836	10992	2140
837	11006	2127
838	11020	2114
839	11033	2101
840	11046	2088
841	11058	2075
842	11071	2062
843	11084	2048
844	11097	2035
845	11110	2022
846	11122	2009
847	11135	1995
848	11147	1982
849	11160	1969
850	11173	1956
851	11185	1943
852	11199	1929
853	11211	1916
854	11223	1903
855	11236	1890
856	11249	1877
857	11263	1864
858	11277	1851
859	11291	1838
860	11304	1824
861	11317	1811
862	11330	1798
863	11344	1785
864	11359	1772
865	11372	1759
866	11385	1746
867	11398	1733
868	11411	1720
869	11423	1706
870	11435	1693
871	11447	1680
872	11461	1667
873	11473	1654
874	11486	1640
875	11498	1627
876	11512	1614
877	11525	1601
878	11537	1588
879	11551	1575
880	11563	1561
881	11577	1548
882	11589	1535
883	11602	1522
884	11616	1509
885	11629	1496
886	11642	1483
887	11655	1470
888	11668	1456
889	11680	1443
890	11694	1430
891	11707	1417
892	11720	1404
893	11733	1391
894	11746	1378
895	11760	1365
896	11772	1351
897	11786	1338
898	11798	1325
899	11811	1312
900	11824	1299
901	11837	1286
902	11850	1272
903	11863	1259
904	11876	1246
905	11888	1233
906	11902	1220
907	11914	1207
908	11927	1194
909	11940	1180
910	11953	1167
911	11966	1154
912	11978	1141
913	11993	1128
914	12005	1115
915	12018	1102
916	12030	1088
917	12046	1076
918	12058	1062
919	12071	1049
920	12084	1036
921	12097	1023
922	12110	1010
923	12123	997
924	12135	983
925	12147	970
926	12160	957
927	12173	944
928	12185	931
929	12198	918
930	12210	904
931	12222	891
932	12234	878
933	12247	865
934	12260	852
935	12273	839
936	12287	826
937	12298	812
938	12311	799
939	12324	786
940	12336	773
941	12350	760
942	12363	747
943	12375	734
944	12388	721
945	12401	707
946	12414	694
947	12427	681
948	12440	668
949	12452	655
950	12464	642
951	12479	629
952	12491	616
953	12505	602
954	12517	589
955	12530	576
956	12543	563
957	12557	550
958	12570	537
959	12582	524
960	12596	511
961	12609	498
962	12622	484
963	12635	471
964	12648	458
965	12660	445
966	12674	432
967	12687	419
968	12700	406
969	12713	393
970	12727	380
971	12740	367
972	12752	353
973	12765	340
974	12778	327
975	12791	314
976	12804	301
977	12817	288
978	12830	275
979	12843	262
980	12856	249
981	12868	235
982	12882	222
983	12894	209
984	12907	196
985	12919	183
986	12932	170
987	12946	157
988	12959	144
989	12971	131
990	12985	117
991	12998	104
992	13010	91
993	13023	78
994	13036	65
995	13049	52
996	13063	39
997	13077	26
998	13090	13
999	13102	0
